Category,Condition,No_of_studies
Bacterial and Fungal Diseases,Abdominal Abscess,34
Bacterial and Fungal Diseases,"Abortion, Septic",3
Bacterial and Fungal Diseases,Abscess,213
Bacterial and Fungal Diseases,Acinetobacter Infections,7
Bacterial and Fungal Diseases,AIDS-Related Opportunistic Infections,176
Bacterial and Fungal Diseases,Anaplasmosis,1
Bacterial and Fungal Diseases,Anthrax,51
Bacterial and Fungal Diseases,Appendicitis,208
Bacterial and Fungal Diseases,"Arthritis, Infectious",79
Bacterial and Fungal Diseases,"Arthritis, Reactive",8
Bacterial and Fungal Diseases,Aspergillosis,165
Bacterial and Fungal Diseases,"Aspergillosis, Allergic Bronchopulmonary",18
Bacterial and Fungal Diseases,Bacteremia,313
Bacterial and Fungal Diseases,Bacterial Infections,4361
Bacterial and Fungal Diseases,Bacteriuria,55
Bacterial and Fungal Diseases,Bacteroides Infections,1
Bacterial and Fungal Diseases,Bartonella Infections,3
Bacterial and Fungal Diseases,Blastomycosis,6
Bacterial and Fungal Diseases,"Bone Diseases, Infectious",366
Bacterial and Fungal Diseases,Bordetella Infections,173
Bacterial and Fungal Diseases,Borrelia Infections,58
Bacterial and Fungal Diseases,Botulism,17
Bacterial and Fungal Diseases,Brain Abscess,12
Bacterial and Fungal Diseases,Brucellosis,33
Bacterial and Fungal Diseases,Burkholderia Infections,12
Bacterial and Fungal Diseases,Buruli Ulcer,6
Bacterial and Fungal Diseases,Campylobacter Infections,11
Bacterial and Fungal Diseases,Candidemia,66
Bacterial and Fungal Diseases,Candidiasis,268
Bacterial and Fungal Diseases,"Candidiasis, Chronic Mucocutaneous",6
Bacterial and Fungal Diseases,"Candidiasis, Invasive",90
Bacterial and Fungal Diseases,"Candidiasis, Oral",43
Bacterial and Fungal Diseases,"Candidiasis, Vulvovaginal",57
Bacterial and Fungal Diseases,Carbuncle,2
Bacterial and Fungal Diseases,Cardiovascular Infections,62
Bacterial and Fungal Diseases,Cat-Scratch Disease,2
Bacterial and Fungal Diseases,Catheter-Related Infections,75
Bacterial and Fungal Diseases,Cellulitis,186
Bacterial and Fungal Diseases,Central Nervous System Bacterial Infections,137
Bacterial and Fungal Diseases,Central Nervous System Fungal Infections,42
Bacterial and Fungal Diseases,Chancre,1
Bacterial and Fungal Diseases,Chlamydia Infections,167
Bacterial and Fungal Diseases,Chlamydial Pneumonia,3
Bacterial and Fungal Diseases,Cholera,64
Bacterial and Fungal Diseases,Clostridium Infections,389
Bacterial and Fungal Diseases,Coccidioidomycosis,61
Bacterial and Fungal Diseases,Coinfection,204
